id,year_group,age,gender,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9-friend,Q9-toy,Q9-teacher,Q9-pet,Q9-other,SENSORY-sb1,ATTENTION-sb2,ESCAPE-sb3,SENSORY-sb4,ATTENTION-sb5,ATTENTION-sb6,ESCAPE-sb7,ATTENTION-sb8,SENSORY-sb9,SENSORY-sb10,ESCAPE-sb11,ATTENTION-sb12,ESCAPE-sb13,TANGIBLE-sb14,ATTENTION-sb15,ESCAPE-sb16,ESCAPE-sb17,SENSORY-sb18,ESCAPE-sb19,TANGIBLE-sb20,SENSORY-sb21
S1,6,11,m,3,5,5,5,5,5,5,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
S2,6,11,m,5,5,5,5,5,5,5,5,1,,,,,,,,,,,,,1,1,,,,,,,,1,,,
S3,6,11,m,2,3,3,2,4,3,4,2,,,,1,,,,,,,,,,,1,,,,,,,,,,,
S4,6,11,m,4,4,4,3,5,3,5,4,,1,,,,,,,,,,,,,,,,,,,,,,,,
S5,6,11,m,3,5,4,2,5,4,5,4,,,,1,,,,,1,,,,,,1,,,,,,,,,,,
S6,6,11,m,5,3,4,2,4,4,5,2,,1,,,,1,,,,,,,,,1,,,,,,,,1,,,
S7,8,13,m,3,5,5,5,5,5,5,5,,,,1,,,,,,,,,,,,,,,,,,,,,,
S8,7,12,f,4,5,5,5,5,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
S9,8,13,m,5,5,5,5,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,7,12,f,3,5,5,5,5,5,5,5,1,1,,1,,1,,,1,,1,,,1,1,1,,,1,,1,,,,1,1
S11,8,13,m,4,5,4,3,5,5,5,3,1,,,,,,,,,,,1,,,,,,,,,,,,,,
S12,9,14,f,5,4,5,3,4,4,4,4,,1,,,,,,,,,,,,,,,,,,,1,,,,,
S13,7,12,m,5,5,5,4,5,5,5,5,,1,1,,,,,,,1,1,,1,,1,,1,,1,,1,,,,1,
X,8,13,m,4,5,5,5,5,5,5,5,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S15,9,14,m,3,2,1,1,4,2,3,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,
S16,10,15,m,5,3,4,4,5,1,4,4,,,,1,,1,,,1,,,,,,,,,,,,,,,,,
S17,9,14,m,5,5,5,5,5,5,5,5,,,,,,1,,,,,,,1,,,,,,,,,1,,,,
S18,10,15,m,5,5,5,4,4,5,5,5,1,,,,,1,1,,1,,,,,1,1,,,,,,,,1,,,1
S19,9,14,m,4,2,1,3,5,3,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
S20,9,14,f,5,5,5,5,5,5,5,5,,,,,Playing a video game,,1,,,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,1
F,11,16,f,5,5,5,5,5,5,5,5,1,,,,,1,,,,,,,,1,,,,,,,,,1,,,1
S22,9,14,m,4,4,4,5,4,5,5,4,1,1,1,1,,1,1,,1,1,1,,,,1,,1,1,1,,1,,1,,,
S23,10,15,f,1,1,3,1,3,1,5,1,1,,,,,,1,,,1,1,1,,,,,1,1,,1,,,,,,
S24,10,15,m,3,5,5,4,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,
S25,8,13,m,4,5,5,4,5,5,5,4,1,,,,,,,,1,,,,,,,,,,,,,,,,,
S26,8,13,m,4,5,5,4,5,4,5,5,1,1,,,,1,,,1,,,,,,1,,1,,,,,,1,,,1
S27,10,15,m,3,1,1,1,2,1,1,1,,,,,Horrifying,,,,,,,,,,,,,,,,,,,,,
L,10,15,m,1,2,1,3,5,1,1,1,,,,1,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,
S29,8,13,m,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
S30,10,15,m,4,4,4,4,4,4,5,5,,,,,,,,,1,,,,,1,1,,,1,,,,,1,,,
