time,level,activity,status
1624951996.152802,INFO,default,running
1624952550.441262,INFO,default,finished
1624952550.448256,INFO,mood board,running
1624952600.942256,INFO,story,mood_green
1624952600.942759,INFO,mood board,finished
1624952600.94434,INFO,story,running
1624952612.207782,INFO,story,interrupted - no one engaged
1624952612.208772,INFO,default,running
1624952968.914115,INFO,default,finished
1624952968.917331,INFO,mood board,running
1624952978.664608,INFO,story,mood_green
1624952978.665153,INFO,mood board,finished
1624952978.666769,INFO,story,running
1624953012.563996,INFO,story,interrupted - no one engaged
1624953012.564977,INFO,default,running
1624953055.981435,INFO,default,interrupted - no one engaged
1624953055.982071,INFO,default,running
1624953081.365548,INFO,mood board,running
1624953095.149658,INFO,calm dances,mood_red
1624953095.150158,INFO,mood board,finished
1624953095.151785,INFO,calm dances,running
1624953147.630791,INFO,calm dances,finished
1624953147.632024,INFO,mood board,running
1624953185.634301,INFO,mood board,interrupted - no one engaged
1624953185.635287,INFO,default,running
1624954327.338347,INFO,default,finished
1624954327.341194,INFO,mood board,running
1624954342.813859,INFO,fun dances,mood_green
1624954342.814204,INFO,mood board,finished
1624954342.815613,INFO,fun dances,running
1624954355.998066,INFO,fun dances,finished
1624954355.999131,INFO,mood board,running
1624954368.624442,INFO,mood board,finished
1624954368.626093,INFO,default,running
1624954372.134762,INFO,default,interrupted - no one engaged
1624954372.135891,INFO,default,running
1624957193.763835,INFO,default,finished
1624957193.766736,INFO,mood board,running
1624957217.766253,INFO,jokes,mood_green
1624957217.766733,INFO,mood board,finished
1624957217.768334,INFO,jokes,running
1624957247.467257,INFO,jokes,finished
1624957247.468379,INFO,mood board,running
1624957261.802456,INFO,fun dances,mood_green
1624957261.802948,INFO,mood board,finished
1624957261.804465,INFO,fun dances,running
1624957317.69702,INFO,fun dances,finished
1624957317.698451,INFO,mood board,running
1624957332.388571,INFO,jokes,mood_green
1624957332.3889,INFO,mood board,finished
1624957332.390334,INFO,jokes,running
1624957362.664662,INFO,jokes,finished
1624957362.665617,INFO,mood board,running
1624957384.192213,INFO,mood board,interrupted - no one engaged
1624957384.193121,INFO,default,running
1624957427.200438,INFO,mood board,running
1624957433.562608,INFO,mood board,interrupted - no one engaged
1624957433.563349,INFO,default,running
1624958746.755001,INFO,mood board,running
1624958767.336092,INFO,cuddle,mood_red
1624958767.336357,INFO,mood board,finished
1624958767.337734,INFO,cuddle,running
1624958782.66582,INFO,cuddle,finished
1624958782.666932,INFO,mood board,running
1624958795.46288,INFO,mood board,finished
1624958795.464489,INFO,default,running
1624958797.146103,INFO,default,finished
1624958797.148292,INFO,mood board,running
1624958841.931936,INFO,fun dances,unknown
1624958841.932503,INFO,mood board,finished
1624958841.934185,INFO,fun dances,running
1624958861.997658,INFO,fun dances,finished
1624958861.99921,INFO,mood board,running
1624958900.220862,INFO,fun dances,unknown
1624958900.221158,INFO,mood board,finished
1624958900.222719,INFO,fun dances,running
1624958920.463823,INFO,fun dances,finished
1624958920.465064,INFO,mood board,running
1624958946.144123,INFO,fun dances,unknown
1624958946.144661,INFO,mood board,finished
1624958946.146294,INFO,fun dances,running
1624959001.981305,INFO,fun dances,finished
1624959001.982902,INFO,mood board,running
1624959011.675111,INFO,jokes,unknown
1624959011.675417,INFO,mood board,finished
1624959011.676957,INFO,jokes,running
1624959056.520301,INFO,jokes,finished
1624959056.521438,INFO,mood board,running
1624959063.212018,INFO,mood board,finished
1624959063.213643,INFO,default,running
1624959150.575467,INFO,default,finished
1624959150.577724,INFO,mood board,running
1624959183.520243,INFO,fun dances,unknown
1624959183.520395,INFO,mood board,finished
1624959183.521031,INFO,fun dances,running
1624959240.215455,INFO,fun dances,finished
1624959240.216552,INFO,mood board,running
1624959268.950417,INFO,fun dances,unknown
1624959268.950895,INFO,mood board,finished
1624959268.952809,INFO,fun dances,running
1624959325.658726,INFO,fun dances,finished
1624959325.659911,INFO,mood board,running
1624959730.451994,INFO,default,running
1624960251.266356,INFO,mood board,running
1624960274.703502,INFO,fun dances,mood_green
1624960274.703783,INFO,mood board,finished
1624960274.705179,INFO,fun dances,running
1624960286.927731,INFO,fun dances,finished
1624960286.928793,INFO,mood board,running
1624960304.002467,INFO,fun dances,mood_green
1624960304.003017,INFO,mood board,finished
1624960304.00457,INFO,fun dances,running
1624960317.419662,INFO,fun dances,finished
1624960317.420781,INFO,mood board,running
1624960326.599467,INFO,fun dances,mood_green
1624960326.599886,INFO,mood board,finished
1624960326.601515,INFO,fun dances,running
1624960346.862582,INFO,fun dances,finished
1624960346.863695,INFO,mood board,running
1624960391.031617,INFO,fun dances,mood_green
1624960391.031946,INFO,mood board,finished
1624960391.033541,INFO,fun dances,running
1624960446.849465,INFO,fun dances,finished
1624960446.850726,INFO,mood board,running
1624960473.11286,INFO,fun dances,mood_green
1624960473.113441,INFO,mood board,finished
1624960473.115047,INFO,fun dances,running
1624960529.890308,INFO,fun dances,finished
1624960529.89145,INFO,mood board,running
1624960534.507707,INFO,mood board,interrupted from ctrl tablet
1624960534.508522,INFO,default,running
1624962923.983293,INFO,mood board,running
1624962939.968952,INFO,cuddle,mood_red
1624962939.969357,INFO,mood board,finished
1624962939.970864,INFO,cuddle,running
1624962954.632426,INFO,cuddle,finished
1624962954.633519,INFO,mood board,running
1624962990.56491,INFO,fun dances,mood_red
1624962990.565288,INFO,mood board,finished
1624962990.566752,INFO,fun dances,running
1624963003.823756,INFO,fun dances,finished
1624963003.824862,INFO,mood board,running
1624963042.17809,INFO,fun dances,mood_red
1624963042.178604,INFO,mood board,finished
1624963042.180168,INFO,fun dances,running
1624963062.401194,INFO,fun dances,finished
1624963062.402347,INFO,mood board,running
1624963129.184373,INFO,fun dances,mood_red
1624963129.184892,INFO,mood board,finished
1624963129.186507,INFO,fun dances,running
1624963148.365164,INFO,fun dances,finished
1624963148.366241,INFO,mood board,running
1624963164.324631,INFO,story,mood_red
1624963164.32509,INFO,mood board,finished
1624963164.325781,INFO,story,running
1624963188.969738,INFO,story,interrupted from Pepper tablet
1624963188.970751,INFO,mood board,running
1624963200.186962,INFO,mood board,finished
1624963200.188708,INFO,default,running
1624963201.416499,INFO,default,finished
1624963201.418538,INFO,mood board,running
1624963226.62959,INFO,listening,mood_red
1624963226.630224,INFO,mood board,finished
1624963226.635506,INFO,listening,running
1624963241.088953,INFO,listening,interrupted from Pepper tablet
1624963241.090019,INFO,mood board,running
1624963253.489468,INFO,mood board,finished
1624963253.491426,INFO,default,running
1624963258.364213,INFO,default,interrupted - no one engaged
1624963258.365212,INFO,default,running
1624963390.509726,INFO,mood board,running
1624963406.040677,INFO,mood board,interrupted - no one engaged
1624963406.041647,INFO,default,running
1624964317.131113,INFO,default,finished
1624964317.134044,INFO,mood board,running
1624964322.332905,INFO,mood board,interrupted - no one engaged
1624964322.33392,INFO,default,running
1624965425.809902,INFO,default,finished
1624965425.813108,INFO,mood board,running
1624965474.209243,INFO,fun dances,mood_blue
1624965474.209878,INFO,mood board,finished
1624965474.211762,INFO,fun dances,running
1624965494.455937,INFO,fun dances,finished
1624965494.457023,INFO,mood board,running
1624965523.586055,INFO,mood board,interrupted - no one engaged
1624965523.58702,INFO,default,running
1624965549.638689,INFO,default,finished
1624965549.641731,INFO,mood board,running
1624965591.327903,INFO,fun dances,mood_blue
1624965591.328432,INFO,mood board,finished
1624965591.33022,INFO,fun dances,running
1624965603.537186,INFO,fun dances,finished
1624965603.538273,INFO,mood board,running
1624965640.918766,INFO,fun dances,mood_blue
1624965640.919229,INFO,mood board,finished
1624965640.920571,INFO,fun dances,running
1624965696.747142,INFO,fun dances,finished
1624965696.74859,INFO,mood board,running
1624965731.405975,INFO,fun dances,mood_blue
1624965731.406308,INFO,mood board,finished
1624965731.411736,INFO,fun dances,running
1624965788.123464,INFO,fun dances,finished
